name,age,street,city,state,zip,lng,lat
Mary Howard,97,45470 Harris Ferry,New Drewfort,New Mexico,74500,-26.229676,45.434572
Kenneth Parks,50,5984 Lewis Row Apt. 136,North Kimberlyberg,North Carolina,38557,-8.103764,-9.3598805
Madeline Bush,83,94139 Hardin Way Suite 234,Kimberlyhaven,Wisconsin,69055,-150.247705,-30.9303665
Earl Garcia,53,80133 Karen Lodge,Tracyville,Oklahoma,34571,112.259506,49.4988855
Julie White,55,48471 Allen Circle Apt. 528,South Jodyton,California,32864,4.034617,-37.2130425
Cheryl Black,43,473 Estes Cliffs Suite 887,New Whitneyshire,New Jersey,55156,-28.084649,-65.8045365
Dr. John Prince,98,8708 Bell Haven Suite 965,Williamshaven,Illinois,31158,90.861381,-73.340210
Don Hall,47,34243 Ian Mission,Ayalaberg,Louisiana,48763,-117.791915,37.049141
Derek Richardson,89,413 Sheila Fall Suite 102,Port Codyview,Washington,05867,148.090987,-59.5120505
Wendy Cook,76,582 Patricia Cliff,Bakerfort,Indiana,88864,89.180089,-12.676212
Oscar Hart MD,24,52671 Jonathan Creek,East Sarah,Montana,85912,141.750703,-87.5547405
Cynthia Robinson,77,61147 John Radial Suite 881,Alexfort,California,29454,-160.869872,-33.461352
Ethan Ellis,32,7190 Anthony Lane,West Erik,Michigan,97538,24.143044,-76.6246095
Kenneth Collins,22,05295 Mendoza Freeway Apt. 224,New Seanborough,Montana,92201,55.178956,59.2336995
David Bishop,60,159 Christina Club,Thompsonmouth,Indiana,28780,-83.568119,68.0534075
Kevin Martinez,18,7958 Bryan Underpass,Millerport,Kansas,43606,127.398473,-20.795839
Amber Hunt,71,8387 Benjamin Underpass,New Lisa,Idaho,72290,-128.763912,8.861321
David Marsh,39,00513 Thompson Orchard Suite 375,North Chloe,Vermont,09461,169.378379,-31.291913
Tara Rogers,23,7794 Steven Keys Suite 316,Cindyfurt,Connecticut,78647,-171.353399,-38.948004
Michelle Lara,58,5977 Thomas Cape Suite 596,Gonzalezburgh,Kentucky,27212,-71.945430,66.9364225
Alvin Davis,18,050 Sanchez Ranch Suite 522,Smithmouth,Ohio,89058,40.672344,-47.4630965
